x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
21.937443,6.5515075,218.06256,172.12733,10.0,0.26936406,Bread,267.0,10.72,3.24,48.68,4.0
0.0,0.0,212.36093,141.46808,11.0,0.2912577,Broccoli,34.0,2.82,0.37,6.64,2.6
38.416985,98.5278,93.71729,81.4722,15.0,0.4535451,Candy,480.0,4.2,30.0,63.9,5.9
0.0,0.0,185.39285,138.09389,15.0,0.16991276,Candy,480.0,4.2,30.0,63.9,5.9
0.0,0.0,194.20818,138.05649,23.0,0.21031553,Guacamole,121.6008930104757,1.7573690537523614,10.181782586295725,8.746812639532886,5.267834449596427
42.597084,0.0,197.40292,171.23312,30.0,0.49300304,Popcorn,500.0,9.0,28.1,58.1,10.0
130.84721,104.463684,102.38318,75.536316,32.0,0.51454645,Strawberry,32.0,0.67,0.3,7.68,2.0
18.617466,0.0,221.38254,167.88724,60.0,0.25588998,Pizza,268.0,10.36,12.28,29.02,2.2
