x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
2.3320627,0.0,447.66794,263.9131,15.0,0.30298242,Candy,480.0,4.2,30.0,63.9,5.9
229.71114,16.869307,164.73729,167.06602,15.0,0.17059833,Candy,480.0,4.2,30.0,63.9,5.9
0.0,0.0,385.90228,262.47577,30.0,0.55459666,Popcorn,500.0,9.0,28.1,58.1,10.0
0.0,0.0,398.72354,266.76895,34.0,0.18976107,Waffle,,,,,
0.0,0.0,389.03534,261.13678,48.0,0.66666883,Honeycomb,309.00842485073713,0.5233050907122636,2.3933589838741396,74.9405868809707,0.3300841887891185
