x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
0.0,0.0,1329.5924,688.3949,10,0.44757104,Bread,267.0,10.72,3.24,48.68,4.0
1050.8054,9.29279,231.60888999999997,98.067635,19,0.24388047,Cookie,,,,,
0.0,39.746887,998.0122,728.2531,28,0.15951559,Pancake,,,,,
0.0,0.0,1212.4667,648.81287,34,0.19960433,Waffle,,,,,
0.0,0.0,1199.5557,630.8216,41,0.15809904,Croissant,406.0,8.2,21.0,45.8,2.6
784.30725,303.84473,261.82630000000006,241.63422000000003,68,0.37550604,Shrimp,,,,,
