x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
0.0,0.0,211.82315,152.68993,10,0.6338639,Bread,267.0,10.72,3.24,48.68,4.0
0.0,0.0,229.33276,160.83073,17,0.16472243,Carrot,41.0,0.93,0.24,9.58,2.8
70.33688,29.929815,204.66312,153.070185,28,0.22942168,Pancake,,,,,
3.4915779,14.104035999999999,271.50842,168.895964,34,0.43297583,Waffle,,,,,
0.0,0.0,252.01462,156.36655,46,0.18971655,Grapefruit,33.0,0.69,0.1,8.41,1.1
0.0,21.314438,273.08282,161.68556,57,0.1865293,Pastry,551.0,7.3,38.1,45.1,1.5
