x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
11.212769,0.0,270.78723,170.26219,10,0.26796183,Bread,267.0,10.72,3.24,48.68,4.0
77.19179,0.0,87.02036999999996,23.976364,15,0.20813166,Candy,480.0,4.2,30.0,63.9,5.9
69.27735,24.691273,212.72265,154.308727,17,0.1569253,Carrot,41.0,0.93,0.24,9.58,2.8
69.475624,0.0,212.52437600000002,154.32889,30,0.19788624,Popcorn,500.0,9.0,28.1,58.1,10.0
71.03876,0.0,210.96124,156.27032,36,0.33998755,Cheese,406.0,24.04,33.82,1.33,0.0
0.0,44.138245,234.9134,134.86175500000002,44,0.36609277,Egg,155.0,12.58,10.61,1.12,0.0
0.0,29.331253,272.3694,149.668747,46,0.30959833,Grapefruit,33.0,0.69,0.1,8.41,1.1
60.10082,94.96768,101.18770999999998,84.03232,75,0.45040333,Tea,1.0,0.0,0.0,0.3,0.0
