x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
43.95428,28.54146,256.04572,171.45854,4.0,0.1992682,Asparagus,86.84402294300071,2.7159960240130365,6.492981153141762,5.719020035664922,1.880690251004669
12.123041,50.13215,287.87695,149.86786,13.0,0.16100278,Cabbage,53.90784981334918,2.7816371160290205,2.572663687640974,5.6010908071695145,1.4899065141597163
55.341908,0.0,87.9364,71.516075,15.0,0.20692404,Candy,480.0,4.2,30.0,63.9,5.9
202.15657,0.0,48.460526,195.41618,42.0,0.3367035,Cucumber,15.0,0.65,0.11,3.63,0.5
0.0,0.0,297.648,160.2946,55.0,0.41781813,Oyster,84.44650486249851,9.232158139137788,2.901210225400667,4.960652076096745,0.31979093910369744
0.0021028519,21.635265,293.66898,178.36473,56.0,0.3287407,Pasta,158.0,5.8,0.93,30.86,1.8
