x,y,w,h,labels,scores,names,calories,protein,fat,carbs,fiber
201.83391,241.0007,798.1661,758.99927,10.0,0.39905167,Bread,267.0,10.72,3.24,48.68,4.0
0.0,0.0,892.597,871.0703,19.0,0.35581228,Cookie,,,,,
0.0,58.579113,912.0076,941.4209,28.0,0.3069877,Pancake,,,,,
74.57933,192.58551,925.42065,807.4145,34.0,0.28900695,Waffle,,,,,
138.11168,0.0,861.8883,930.9178,60.0,0.151348,Pizza,268.0,10.36,12.28,29.02,2.2
