names,calories,protein,fat,carbs,fiber
Muffin,296.0,6.9,11.4,41.4,2.7
Grapefruit,33.0,0.69,0.1,8.41,1.1
Pizza,268.0,10.36,12.28,29.02,2.2
Tart,203.1598332181267,4.096188623394152,11.332416275351141,22.06143816949343,1.9109654331358217
