,Broccoli,Common fig,Grape,Guacamole,Popcorn,Fruit,Pineapple,Pizza,Potato
calories,34.0,74.0,69.0,121.6008930104757,500.0,62.445918846148274,50.0,268.0,146.92408452479484
protein,2.82,0.75,0.72,1.7573690537523614,9.0,1.068929998680547,0.54,10.36,4.6310558122560215
fat,0.37,0.3,0.16,10.181782586295723,28.1,0.7958801503147666,0.12,12.28,8.452453747550557
carbs,6.64,19.18,18.1,8.746812639532886,58.1,13.771027695133638,13.12,29.02,13.693227396186389
fiber,2.6,2.9,0.9,5.267834449596427,10.0,1.7075528158443918,1.4,2.2,1.597136029237388
