names,calories,protein,fat,carbs,fiber
Cookie,0.0,0.0,0.0,0.0,0.0
Hot dog,305.0,11.53,27.64,1.72,0.0
Cheese,406.0,24.04,33.82,1.33,0.0
Sushi,36.0,0.0,0.0,7.199999999999999,0.0
