names,calories,protein,fat,carbs,fiber
Apple,52.0,0.26,0.17,13.81,2.4
Cookie,0.0,0.0,0.0,0.0,0.0
Cheese,406.0,24.04,33.82,1.33,0.0
Milk,61.0,3.15,3.25,4.8,0.0
