,Pizza,Pumpkin,Salad,Sushi
calories,268.0,161.34171202119737,91.0,36.0
protein,10.36,2.732638996481212,6.824999999999999,0.0
fat,12.28,6.535449434006678,0.0,0.0
carbs,29.02,24.230977888399767,13.65,7.199999999999999
fiber,2.2,1.358004908852828,9.1,0.0
