names,calories,protein,fat,carbs,fiber
Apple,52.0,0.26,0.17,13.81,2.4
Bell pepper,31.0,0.99,0.3,6.03,2.1
Broccoli,34.0,2.82,0.37,6.64,2.6
Candy,480.0,4.2,30.0,63.9,5.9
Pear,57.0,0.36,0.14,15.23,3.1
Cucumber,15.0,0.65,0.11,3.63,0.5
Fruit,62.445918846148274,1.068929998680547,0.7958801503147666,13.771027695133638,1.7075528158443918
Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
