names,calories,protein,fat,carbs,fiber
Broccoli,34.0,2.82,0.37,6.64,2.6
Common fig,74.0,0.75,0.3,19.18,2.9
Grape,69.0,0.72,0.16,18.1,0.9
Guacamole,121.6008930104757,1.7573690537523614,10.181782586295725,8.746812639532886,5.267834449596427
Popcorn,500.0,9.0,28.1,58.1,10.0
Fruit,62.445918846148274,1.068929998680547,0.7958801503147666,13.771027695133638,1.7075528158443918
Pineapple,50.0,0.54,0.12,13.12,1.4
Pizza,268.0,10.36,12.28,29.02,2.2
Potato,146.92408452479484,4.6310558122560215,8.452453747550557,13.693227396186387,1.597136029237388
